,mol,flag
811,NC1=NC=NC2=C1C(=N[N]2C3CCN(CCCOCCCOCCC(=O)NC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)CC3)C7=CC=C(OC8=CC=CC=C8)C=C7,1
60,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCC5=C[N](CCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
433,CN(CCCNC1=NC(=NC=C1Br)NC2=CC=C(OCCCOCCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)C=C2)C(=O)C6CCC6,0
765,CN(C)C(=O)C1=CC2=C(N=C(NC3=CC=C(C=N3)N4CCN(CC4)CC5=C[N](CCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5)N=C2)[N]1C9CCCC9,0
92,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCC5=C[N](CCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
917,COC1=CC2=C(C=C1C(N)=O)C(=CN=C2OC[C@@H]3CCC(=O)N3)C#CCOCCOCCOCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C,0
634,COC1=CC(=C(OC)C=C1CN2CC(C2)NC(=O)CCCCOC3=CC(=CC=C3CNC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@@H](NC(=O)C5(F)CC5)C(C)(C)C)C6=C(C)N=CS6)C7=CN(C)C(=O)C8=CN=CC=C78,1
351,CC1=C(C)C2=C(S1)[N]3C(=NN=C3[C@H](CC(=O)NCCCCOC4=CC=C(OC5=CC=C(C=C5)N(CC6=CC=CC=C6)C(=O)CCl)C=C4)N=C2C7=CC=C(Cl)C=C7)C,1
997,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCNC(=O)C4=CC=C(C=C4)C5=CN=C(NCC6=CC=CO6)[N]7C=NN=C57)C(C)(C)C)C=C2,0
280,COC1=CC(=CC=C1OCCCN2CCN(CCCCCCCCCC(=O)NC3=CC=CC4=C3CN(C5CCC(=O)NC5=O)C4=O)CC2)C6=CN=C7C=CC=C(C8=CC(=C(CN9CC[S](=O)(=O)CC9)C(=C8)F)F)C7=N6,0
907,FC1=C(C=CC=C1Cl)[C@H]2[C@@H](NC3(CCCCC3)[C@@]24C(=O)NC5=CC(=CC=C45)Cl)C(=O)NC6=CC=C(C=C6)C(=O)NCCCC#CC7=CC=C8CN(C9CCC(=O)NC9=O)C(=O)C8=C7,1
1229,CC[N]1N=C(C=C1NC2=NC(=NC3=C2C4=C([NH]3)C=C(C(=C4)OC)C5=C(C)ON=C5C)C(=O)NCCCCCC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)C9CC9,1
359,COC1=CC(=C(Cl)C=C1Cl)NC2=C3C=C(OC)C(=CC3=NC=C2C#N)OCCCN4CCN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)CC4,1
478,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CC(=O)N2CCN(CC[C@H](CSC3=CC=CC=C3)NC4=CC=C(C=C4[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C5=CC=C(C=C5)N6CCN(CC6)CC7=C(CCC(C)(C)C7)C8=CC=C(Cl)C=C8)CC2)C(C)(C)C)C9=CC=C(C=C9)C%10=C(C)N=CS%10,0
581,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)CCOCCOCCOCCOCCNC(=O)CCC(=O)CCC(=O)NC2=C(Cl)C(=CC=C2)SC3=NC=C(N=C3N)N4CCC(C)(N)CC4)C(C)(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6,1
890,CN(C1=NC=CN=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC=C(C=C3)C(=O)NCC4=C[N](CCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=N4)[S](C)(=O)=O,1
558,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=C[N]4C(=N3)SC5=CC(=CC=C45)OCCN6CCN(CC6)CC(=O)NCCCCNC(=O)COC7=CC=CC8=C7C(=O)N(C9CCC(=O)NC9=O)C8=O,0
526,CN(CCOCCOCCNC1=CC=CC2=C1C(=O)N(C3CCC(=O)NC3=O)C2=O)CC[C@@H](CSC4=CC=CC=C4)NC5=CC=C(C=C5[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C6=CC=C(C=C6)N7CCN(CC7)CC8=C(CCC(C)(C)C8)C9=CC=C(Cl)C=C9,1
1223,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCOCOCCNC(=O)CCC2=CC=C(C=C2)[S](=O)(=O)NC3=C(NC4=CC=C(I)C=C4F)N(C)C(=O)C(=C3)C)C(C)(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6,1
182,ClC1=CC=CC(=C1C(=O)NC2=C[NH]N=C2C(=O)NC3CCNCC3)Cl,0
867,CC(C)[C@@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CC(=O)N2CCC(CC2)N3CCC(CC3)C#CC4=CC=C(C=C4)C(=O)NC5C(C)(C)C(OC6=CC=C(C#N)C(=C6)Cl)C5(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8)C9=CC(=NO9)C,1
490,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(C)CC[C@H](CSC2=CC=CC=C2)NC3=CC=C(C=C3[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C4=CC=C(C=C4)N5CCN(CC5)CC6=C(CCC(C)(C)C6)C7=CC=C(Cl)C=C7)C(C)(C)C)C8=CC=C(C=C8)C9=C(C)N=CS9,1
110,COC1=CC=C(C(=C1)OC(C)C)C2=N[C@@H]([C@@H](N2C(=O)N3CCN(CC(=O)NCCOCC[N]4C=C(CN5CCN(CC5)C6=CC=C(NC7=NC=C8C(=C(C(C)=O)C(=O)N(C9CCCC9)C8=N7)C)N=C6)N=N4)C(=O)C3)C%10=CC=C(Cl)C=C%10)C%11=CC=C(Cl)C=C%11,0
370,C[C@H]1C[C@@H](NC2=CC=C(Cl)C=C2)C3=CC(=CC=C3N1C(C)=O)C4=CC=C(C=C4)C(=O)NCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC6=CC=C(C=C6)C7=C(C)N=CS7)C(C)(C)C,1
458,CC(C)OC1=CC(=C(C)C=C1NC2=NC=C(Cl)C(=N2)NC3=CC=CC=C3[S](=O)(=O)C(C)C)C4CCN(CC4)CC(=O)NCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O,1
239,CC1=CC(=C(Br)C(=O)N1C2=CC(=CC=C2C)C(=O)NCCCCC3=C[N](CCOCCOCCOCCOCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)N=N3)OCC7=CC=C(F)C=C7F,1
1199,CN(C1=CC=CC(=C1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC=C(OCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)C=C3)[S](C)(=O)=O,1
668,ONC(=O)C1=CC=C(CN(CCCCC2=C[N](CCOCCNC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O)N=N2)C(=O)NC6=CC=CC=C6)C=C1,1
628,COC1=CC(=CC(=C1CN2CCN(CCOCCOCCOCCOC3=CC(=CC=C3CNC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@@H](NC(=O)C5(F)CC5)C(C)(C)C)C6=C(C)N=CS6)CC2)OC)C7=CN(C)C(=O)C8=CN=CC=C78,1
204,FC(F)C1=NC2=CC=CC=C2[N]1C3=NC(=NC(=N3)N4CCN(CCCCCC(=O)NC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)CC4)N8CCOCC8,0
682,COC1=CC(=CC=C1NC2=NC=C3C(=CC(=O)N(C4=CC(=CC=C4)NC(=O)C=C)C3=N2)C)N5CCN(CCCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC7=CC=C(C=C7)C8=C(C)N=CS8)C(C)(C)C)CC5,1
1111,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NCCOCCOCCN4CCN(CC4)C5=CC=C(NC6=CC7=C(C=N6)N=C(NC8=CC=C(F)C=C8)N=C7N9CCC(CO)CC9)N=C5)C(C)(C)C)C=C2,1
261,COC1=CC(=CC=C1OCC2=CC=C(C=C2C(F)(F)F)C(F)(F)F)\C=C(/C#N)C(=O)NCCCOCCOCCOCCCNC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O,0
528,CN(CCOCCOCCOCCOCCNC1=CC=CC2=C1C(=O)N(C3CCC(=O)NC3=O)C2=O)CC[C@@H](CSC4=CC=CC=C4)NC5=CC=C(C=C5[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C6=CC=C(C=C6)N7CCN(CC7)CC8=C(CCC(C)(C)C8)C9=CC=C(Cl)C=C9,1
721,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=C9OCCOC9=C8,0
529,CN[C@@H](C)C(=O)N[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C3=NC(=CS3)C(=O)C4=CC(=CC=C4)OCCOCCOCCOCC5=C[N](CCCC(=O)N6CCN(CC[C@H](CSC7=CC=CC=C7)NC8=CC=C(C=C8[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C9=CC=C(C=C9)N%10CCN(CC%10)CC%11=C(CCC(C)(C)C%11)C%12=CC=C(Cl)C=C%12)CC6)N=N5,1
339,COC1=CC(=CC(=C1OCC(=O)NCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C4=C(SC(=C4C)C)[N]5C(=NN=C25)C)OC)N=NC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6,1
708,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=CC=C8,0
585,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)CCCNC(=O)CC(=O)NC2=C(Cl)C(=CC=C2)SC3=NC=C(N=C3N)N4CCC(C)(N)CC4)C(C)(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6,0
771,CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(C=N3)N4CCN(CCCCNC(=O)COC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)CC4)N=C2[N]1C8CCCC8,1
183,ClC1=CC=CC(=C1C(=O)NC2=C[NH]N=C2C(=O)NC3CCN(CC3)C(=O)CCC(=O)NCCCOCCOCCOCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)Cl,0
137,CC1=NC(=CC(=N1)N2CCN(CCCCCNC(=O)CCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)CC2)NC6=NC=C(S6)C(=O)NC7=C(C)C=CC=C7Cl,0
1194,CN(C)[S](=O)(=O)N1CCN(CC1)C2=CC=C(OCC3=C(C(=N[N]3C)C)C4=CC=CC5=C4[N](CCN6CCN(CC6)C(=O)COC7=CC=CC8=C7C(=O)N(C9CCC(=O)NC9=O)C8=O)C(=C5CCCOC%10=CC=CC%11=C%10C=CC=C%11)C(O)=O)C=C2,1
974,CN1C(=O)N(CC(=O)NCCCCCC(=O)NC2=CC=CC3=C2CN(C4CCC(=O)NC4=O)C3=O)C(C5=CC=CC=C5)C6=CC(=CC=C16)C7=C(C)ON=C7C,1
671,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=C(OCCC[N]3C=C(CCCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)N=N3)C=C2,1
80,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0
532,CN[C@@H](C)C(=O)N[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C3=NC(=CS3)C(=O)C4=CC(=CC=C4)OCCCC(=O)N5CCN(CC[C@H](CSC6=CC=CC=C6)NC7=CC=C(C=C7[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C8=CC=C(C=C8)N9CCN(CC9)CC%10=C(CCC(C)(C)C%10)C%11=CC=C(Cl)C=C%11)CC5,1
845,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCNC(=O)C4=CC=C(C=C4F)N5C(=S)N(C(=O)C5(C)C)C6=CC=C(C#N)C(=C6)C(F)(F)F)C(C)(C)C)C=C2,1
809,NC1=NC=NC2=C1C(=N[N]2[C@@H]3CCCN(C3)C(=O)CCCNC(=O)CCCC[N]4C=C(COCCC(=O)NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O)N=N4)C8=CC=C(OC9=CC=CC=C9)C=C8,1
29,CCN(CCCCCCC#CC1=CC=CC2=C1CN(C3CCC(=O)NC3=O)C2=O)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0
1070,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C[C@H](NC(=O)C3=CC4=CC(=CC=C4[NH]3)C(F)(F)[P](O)(O)=O)C(=O)N12)C(=O)C5=C[N](CCCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=C5)C(=O)NC(C9=CC=CC=C9)C%10=CC=CC=C%10,1
471,NC1=C2C(=NC=N1)[N](CC3=C[N](CC(=O)NC4=CC=C(OCCOCCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)C=C4)N=N3)N=C2C8=CC=C(Cl)C=C8,0
969,CC1=NN=C2COCC3=C(SC(=C3CC4=CC=CC=C4)C#CC5=C[N](CCCC#CC6=C7CN(C8CCC(=O)NC8=O)C(=O)C7=CC=C6)N=C5)[N]12,1
165,CC(C)C[C@@H](NC(=O)[C@H](O)[C@@H](N)CC1=CC=CC=C1)C(=O)NCCCCCCCCC(=O)NCC2=CC=C(C=C2)C(=O)NC3=CC=C(C)C(=C3)NC4=NC=CC(=N4)C5=CC=CN=C5,1
248,COC1=C(NC2=NC=CC(=N2)C3=C[N](C)C4=CC=CC=C34)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)CCOCCOCCOCC(=O)NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,1
307,ClC1=CC=CC(=C1C(=O)NC2=C[NH]N=C2C(=O)NC3CCN(CC3)C(=O)CCC(=O)NCCCCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)Cl,0
481,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCC(=O)N2CCN(CC[C@H](CSC3=CC=CC=C3)NC4=CC=C(C=C4[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C5=CC=C(C=C5)N6CCN(CC6)CC7=C(CCC(C)(C)C7)C8=CC=C(Cl)C=C8)CC2)C(C)(C)C)C9=CC=C(C=C9)C%10=C(C)N=CS%10,1
812,NC1=NC=NC2=C1C(=N[N]2C3CCN(CCOCCOCC(=O)NC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)CC3)C7=CC=C(OC8=CC=CC=C8)C=C7,0
614,COC1=CC(=CC(=C1CN2CCN(CCCCCOCCOC3=CC(=CC=C3CNC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@@H](NC(=O)C5(F)CC5)C(C)(C)C)C6=C(C)N=CS6)CC2)OC)C7=CN(C)C(=O)C8=CN=CC=C78,1
346,CC1=C(C)C2=C(S1)[N]3C(=NN=C3[C@H](CC(=O)NCCOCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)N=C2C7=CC=C(Cl)C=C7)C,1
334,COC1=CC(=CC(=C1OCC(=O)NCCCCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C4=C(SC(=C4C)C)[N]5C(=NN=C25)C)OC)N=NC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O,1
285,COC1=CC(=CC=C1OCCCN2CCN(CCOCCOCCOCCOCCOCCOCC(=O)N[C@@H](C(=O)N3C[C@@H](O)C[C@@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)CC2)C6=CN=C7C=CC=C(C8=CC(=C(CN9CC[S](=O)(=O)CC9)C(=C8)F)F)C7=N6,0
1041,COC1=CC(=CC=C1NC2=NC=C(Cl)C(=N2)NC3=CC=CC=C3[P](C)(C)=O)N4CCC(CC4)NC(=O)CCCCCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC6=CC=C(C=C6)C7=C(C)N=CS7)C(C)(C)C,1
97,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCC5=C[N](CCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,0
1151,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@H]3C[C@H](O)CN3C(=O)[C@H](NC(=O)CCCCCCCCC[N]4C=C(NC5=NC=C(Cl)C(=N5)NCC6=CC(=CC=C6F)F)C=N4)C(C)(C)C)C=C2,0
1069,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C[C@H](NC(=O)C3=CC4=CC(=CC=C4[NH]3)C(F)(F)[P](O)(O)=O)C(=O)N12)C(=O)NCCCCC#CC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O)C(=O)NC(C8=CC=CC=C8)C9=CC=CC=C9,1
976,CC[N]1N=C(C=C1NC2=NC(=NC3=C2C4=C([NH]3)C=C(C(=C4)OC)C5=C(C)ON=C5C)C(=O)NCCCCNC(=O)COC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)C9CC9,1
636,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=C(OCCCCC[N]3C=C(CNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)N=N3)C=C2,1
722,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=C9OCCOC9=C8,0
649,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=C(OCCC[N]3C=C(CCCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)N=N3)C=C2,1
1211,COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C3=CC=C(OCC4=C[N](CCCCCCC(=O)NC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=N4)C=C3,1
1221,COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C3=CC=C(OCCCCCCCC(=O)NC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C3,1
730,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCCCCNC(=O)CCCC(=O)NC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=CC=C8,0
65,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,0
777,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(=O)N[C@@H](C(=O)N4C[C@@H](O)C[C@@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)C(C)(C)C)C=C2,1
923,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H](C[C@H]2C(=O)N[C@@H]3CCCC4=CC=CC=C34)NC(=O)CCCCCCCCCCC#CC5=CN=C(OC[C@@H]6CCC(=O)N6)C7=C5C=C(C(N)=O)C(=C7)OC,0
602,COC1=CC(=CC(=C1CN2CCN(CC2)C(=O)COCCOCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)OC)C6=CN(C)C(=O)C7=CN=CC=C67,0
1117,OC1=CC=C(F)C=C1C(N2CC3=CC=C(C=C3C2=O)C4=CC=C(C=C4)N5CCN(CCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)CC5)C(=O)NC9=NC=CS9,1
302,ClC1=CC=CC(=C1C(=O)NC2=C[NH]N=C2C(=O)NC3CCN(CC3)C(=O)CCC(=O)NCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)Cl,0
996,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCNC(=O)C4=CC=C(C=C4)C5=CN=C(NCC6=CC=CO6)[N]7C=NN=C57)C(C)(C)C)C=C2,1
388,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCCCCOCC(=O)NCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C(C)(C)C)C=C2,1
235,CC1=CC(=C(Br)C(=O)N1C2=CC(=CC=C2C)C(=O)NCCOCCOCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O)OCC6=CC=C(F)C=C6F,1
864,CC(C)[C@@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CC(=O)N2CCC(CC2)N3CCC(CC3)C#CC4=CC=C(C=C4)N5C(=S)N(C(=O)C5(C)C)C6=CC=C(C#N)C(=C6)C(F)(F)F)C7=CC=C(C=C7)C8=C(C)N=CS8)C9=CC(=NO9)C,1
755,CC(=O)C1=C(C)C2=C(N=C(NC3=CC=C(C=N3)N4CCN(CCOCCOCCONC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)CC4)N=C2)N(C8CCCC8)C1=O,1
305,ClC1=CC=CC(=C1C(=O)NC2=C[NH]N=C2C(=O)NC3CCN(CC3)C(=O)CCC(=O)NCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)Cl,0
820,CC(C)[C@@H](C(=O)N1C[C@@H](O)C[C@@H]1C(=O)N[C@@H](CC(=O)N2CCC(CC2)C3CN(C3)C4=CC=C(C=C4)C(=O)NC5C(C)(C)C(OC6=CC=C(C#N)C(=C6)Cl)C5(C)C)C7=CC=CC=C7)C8=CC(=NO8)C,1
980,CC[N]1N=C(C=C1NC2=NC(=NC3=C2C4=C([NH]3)C=C(C(=C4)OC)C5=C(C)ON=C5C)C(=O)NCCCC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)C9CC9,1
249,COC1=C(NC2=NC=CC(=N2)C3=C[N](C)C4=CC=CC=C34)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)CCOCCOCCOCCOCC(=O)NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,1
807,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H](C[C@H]2C(=O)N[C@@H]3CCCC4=CC=CC=C34)NC(=O)COCCOCCOCCOCCN5CCN(CCCC(=O)N6CCC[C@H](C6)[N]7N=C(C8=CC=C(C=C8)C9=CC=CC=C9)C%10=C7N=CN=C%10N)CC5,1
71,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
94,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCC5=C[N](CCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,0
1007,OC1=CC=C2CN(C(=O)OC2=C1)C3=CC=C(NC(=O)CCCCCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C3,1
33,CCN(CCOC1=CC=C(C=C1)C(=O)C2=C(SC3=CC(=CC=C23)O)C4=CC=C(O)C=C4)CCN5CCN(CCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)N[C@@H](C)C7=CC=C(C=C7)C8=C(C)N=CS8)C(C)(C)C)CC5,1
902,FC1=C(C=CC=C1Cl)[C@H]2[C@@H](NC3(CCCCC3)[C@@]24C(=O)NC5=CC(=CC=C45)Cl)C(=O)NC6=CC=C(C=C6)C(=O)NCCCCNC7=CC=CC8=C7C(=O)N(C9CCC(=O)NC9=O)C8=O,1
448,CCOC1=CC(=CC=C1C2=NC(C(N2C(=O)N3CCN(CC3)C(=O)CNC(=O)CCCC#CC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)C7=CC=C(Cl)C=C7)C8=CC=C(Cl)C=C8)C(C)(C)C,1
445,CCOC1=CC(=CC=C1C2=NC(C(N2C(=O)N3CCN(CCC#CC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)CC3)C7=CC=C(Cl)C=C7)C8=CC=C(Cl)C=C8)C(C)(C)C,0
